Hãng Sản Xuất,Độ Dày,Trọng Lượng,RAM,Bộ Nhớ,Dung Lượng Pin,Hệ Điều Hành,Giá Bán,Hãng CPU,Số Lõi,Xung nhịp tối đa,Cache,Loại Màn Hình,Độ Phân Giải,Số Cổng Giao Tiếp,Hãng GPU,Phân Loại
0,0.036956619856159986,-0.7979104472274002,-0.4184981861215467,-0.25275844385422397,0.01629350582967852,5,-0.9322616175706083,4,0.6462538936606357,-0.20062922320366097,-1.0626575213654943,0,5,-1.5222995180037258,2,Di động / Mỏng nhẹ / Ultrabook
0,2.001956705862234,1.752277733172931,-0.1038017279551326,2.16429164936506,0.01629350582967852,5,0.15591378534820705,5,-0.4549025008838057,0.14559058027010138,0.201345635627146,0,4,1.7616614345798065,4,Kỹ thuật / Lập trình
5,0.06007426792682001,0.5521891776904223,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,-0.2654519123375787,16,-1.8313479940643576,-0.5468490266774233,-0.7466567321173342,0,5,-2.835883899037139,2,Văn phòng / Học tập
2,0.036956619856159986,-0.04785510005083229,0.5255911883776956,-0.25275844385422397,0.01629350582967852,5,-0.5453548076439184,6,1.1968320909328565,0.4918103837438637,1.1493480033716261,3,4,-0.8655073274870194,2,Kỹ thuật / Lập trình
3,0.5224272293400138,0.4021781082551086,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,-0.07985755195086962,2,-1.556058895428247,0.6649202854807441,-0.7466567321173342,9,8,-0.20871513697031288,4,Văn phòng / Học tập
5,0.036956619856159986,-0.13786174171202054,-0.4184981861215467,-0.25275844385422397,0.01629350582967852,5,-0.2654519123375787,5,-0.4549025008838057,-0.37373912494054135,-0.7466567321173342,0,4,-0.20871513697031288,2,Kỹ thuật / Lập trình
5,0.036956619856159986,-0.13786174171202054,-0.4184981861215467,-1.0395586044073761,0.01629350582967852,5,-0.6118544156000683,5,0.09567569638841501,-0.37373912494054135,-0.7466567321173342,0,4,-0.8655073274870194,2,Kỹ thuật / Lập trình
5,-0.2635728050624153,-0.4678860944697104,-0.4184981861215467,-1.033264203122951,0.01629350582967852,5,-0.8476257528991449,4,-1.0054806981560265,-0.20062922320366097,-1.0626575213654943,0,4,-0.8655073274870194,2,Văn phòng / Học tập
5,0.06007426792682001,0.25216703881979485,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,-0.2654519123375787,1,0.6462538936606357,0.4918103837438637,-0.7466567321173342,0,5,0.4480770535463936,2,Kỹ thuật / Lập trình
5,0.06007426792682001,0.25216703881979485,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,-0.5997635777898591,6,1.1968320909328565,0.6649202854807441,-0.7466567321173342,0,4,2.418453625096513,2,Kỹ thuật / Lập trình
3,0.4993095812693538,0.25216703881979485,-0.4184981861215467,-0.25275844385422397,0.01629350582967852,5,-0.2654519123375787,5,0.09567569638841501,-0.02751932146678056,-0.7466567321173342,0,4,0.4480770535463936,2,Kỹ thuật / Lập trình
7,-0.5409845819103323,-0.6478993777920868,2.0990734792097663,-0.25275844385422397,-0.0956252494515678,5,-0.3821284972060961,6,0.09567569638841501,0.4918103837438637,-0.7466567321173342,0,5,1.1048692440631,2,Di động / Mỏng nhẹ / Ultrabook
7,-1.0958081356061646,-0.9629226236062454,0.5255911883776956,0.5529249205522039,0.8736437957397626,5,0.669774392282092,17,0.6462538936606357,0.31870048200698176,-0.7466567321173342,2,13,0.4480770535463936,2,Thiết kế đồ họa / Multimedia
7,-0.05551397242647845,0.7022002471257354,0.5255911883776956,0.5529249205522039,0.01629350582967852,5,2.3624916857113605,14,0.09567569638841501,-0.02751932146678056,-0.11465515362101408,0,17,1.1048692440631,4,Thiết kế đồ họa / Multimedia
7,-0.05551397242647845,0.7022002471257354,0.5255911883776956,0.5529249205522039,0.01629350582967852,5,2.3624916857113605,14,0.09567569638841501,-0.02751932146678056,-0.11465515362101408,0,17,1.1048692440631,4,Thiết kế đồ họa / Multimedia
2,0.06007426792682001,0.4021781082551086,0.5255911883776956,0.5529249205522039,0.01629350582967852,5,0.6341064207419753,6,1.747410288205077,0.4918103837438637,1.1493480033716261,0,5,0.4480770535463936,4,Gaming
0,-0.1711022127797769,0.4021781082551086,1.1549841047105238,-0.25275844385422397,-0.5996451529510599,5,-0.23703844348358738,6,0.09567569638841501,0.14559058027010138,1.1493480033716261,0,4,2.418453625096513,4,Gaming
0,-0.1711022127797769,0.4021781082551086,4.931341602707493,2.16429164936506,-0.7741135810854991,5,-0.255174700198901,5,-0.4549025008838057,-0.02751932146678056,-0.7466567321173342,1,5,1.1048692440631,4,Gaming
0,-0.1711022127797769,0.4021781082551086,4.931341602707493,2.16429164936506,-0.7741135810854991,5,-0.14635715990701945,6,0.09567569638841501,0.4918103837438637,1.1493480033716261,1,5,1.1048692440631,4,Gaming
0,-0.1711022127797769,0.4021781082551086,1.1549841047105238,-0.25275844385422397,-0.5996451529510599,5,-0.3760830783009916,5,-0.4549025008838057,-0.37373912494054135,-0.7466567321173342,0,4,2.418453625096513,4,Gaming
2,1.1581625512831553,0.8522113165610491,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,0.6093202032310467,6,1.747410288205077,0.4918103837438637,1.1493480033716261,0,5,0.4480770535463936,4,Gaming
7,0.036956619856159986,0.10215596938448111,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,-0.23703844348358738,14,-0.4549025008838057,0.23214553113854158,-0.11465515362101408,2,10,0.4480770535463936,0,Thiết kế đồ họa / Multimedia
7,-0.8692551845136994,-0.3478772389214594,0.5255911883776956,0.5529249205522039,-0.3864059630089669,1,0.6093202032310467,1,0.6462538936606357,0.31870048200698176,-0.7466567321173342,0,5,0.4480770535463936,2,Di động / Mỏng nhẹ / Ultrabook
2,1.1581625512831553,0.8522113165610491,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,0.554971887274157,6,1.747410288205077,0.4918103837438637,1.1493480033716261,0,5,-2.835883899037139,4,Gaming
2,1.1581625512831553,0.8522113165610491,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,0.5005631171282162,5,0.6462538936606357,-0.02751932146678056,0.517346424875306,0,5,0.4480770535463936,4,Gaming
7,1.2159566714598045,1.0022223859963628,-0.1038017279551326,-0.25275844385422397,0.01629350582967852,5,0.18614087987372968,6,1.747410288205077,0.4918103837438637,1.1493480033716261,0,4,1.7616614345798065,4,Kỹ thuật / Lập trình
0,0.036956619856159986,0.10215596938448111,-0.4184981861215467,0.5529249205522039,0.01629350582967852,5,-0.5211731320235002,6,1.1968320909328565,0.4918103837438637,1.1493480033716261,0,4,-1.5222995180037258,2,Kỹ thuật / Lập trình
